state,$default,$end,'!','%','&','(',')','*','+',"','",'-','.','/',':',';','<','=','>','[',']','^','{','|','}','~',ADD_ASSIGN,ALIGNAS,ALIGNOF,AND_ASSIGN,AND_OP,ATOMIC,AUTO,BOOL,BREAK,CASE,CHAR,COMPLEX,CONST,CONTINUE,DEC_OP,DEFAULT,DIV_ASSIGN,DO,DOUBLE,ELIF,ELLIPSIS,ELSE,ENUM,ENUMERATION_CONSTANT,EQ_OP,EXCEPT,EXTERN,FLOAT,FOR,FOREACH,FUNC_NAME,F_CONSTANT,GENERIC,GE_OP,GOTO,IDENTIFIER,IF,IMAGINARY,IN,INC_OP,INLINE,INT,I_CONSTANT,LEFT_ASSIGN,LEFT_OP,LE_OP,LONG,MOD_ASSIGN,MUL_ASSIGN,NE_OP,NORETURN,OR_ASSIGN,OR_OP,PASS,PRINT,PTR_OP,RANGE,REGISTER,RESTRICT,RETURN,RIGHT_ASSIGN,RIGHT_OP,SHORT,SIGNED,SIZEOF,STATIC,STATIC_ASSERT,STRING_LITERAL,STRUCT,SUB_ASSIGN,SWITCH,THREAD_LOCAL,TH_OP,TRY,TYPEDEF,TYPEDEF_NAME,UNION,UNSIGNED,VOID,VOLATILE,WHILE,XOR_ASSIGN
32,,,,,,s52,,s53,,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,r94,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,s27,s5,s11,,,s12,s21,s8,,,,,,s19,,,,s25,,,,s3,s18,,,,,,,,,,s22,,,s7,s14,,,,,s15,,,,s28,,,,,,,s6,s9,,,,s13,s16,,s4,,,s23,,,s30,,,s2,s1,s24,s17,s20,s10,,
34,r96,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,s27,s5,s11,,,s12,s21,s8,,,,,,s19,,,,s25,,,,s3,s18,,,,,,,,,,s22,,,s7,s14,,,,,s15,,,,s28,,,,,,,s6,s9,,,,s13,s16,,s4,,,s23,,,s30,,,s2,s1,s24,s17,s20,s10,,
35,r126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,r127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,r125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,r98,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,s27,s5,s11,,,s12,s21,s8,,,,,,s19,,,,s25,,,,s3,s18,,,,,,,,,,s22,,,s7,s14,,,,,s15,,,,s28,,,,,,,s6,s9,,,,s13,s16,,s4,,,s23,,,s30,,,s2,s1,s24,s17,s20,s10,,
40,r100,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,s27,s5,s11,,,s12,s21,s8,,,,,,s19,,,,s25,,,,s3,s18,,,,,,,,,,s22,,,s7,s14,,,,,s15,,,,s28,,,,,,,s6,s9,,,,s13,s16,,s4,,,s23,,,s30,,,s2,s1,s24,s17,s20,s10,,
41,r102,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,s27,s5,s11,,,s12,s21,s8,,,,,,s19,,,,s25,,,,s3,s18,,,,,,,,,,s22,,,s7,s14,,,,,s15,,,,s28,,,,,,,s6,s9,,,,s13,s16,,s4,,,s23,,,s30,,,s2,s1,s24,s17,s20,s10,,
